code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,1752_date,1752_score,1753_date,1753_score,1754_date,1754_score,1755_date,1755_score,1756_date,1756_score,clicks_dataplus,clicks_forumng,clicks_glossary,clicks_homepage,clicks_oucollaborate,clicks_oucontent,clicks_resource,clicks_subpage,clicks_url
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,-159.0,NA,18.0,78.0,53.0,85.0,115.0,80.0,164.0,85.0,212.0,82.0,0.0,193.0,0.0,138.0,0.0,553.0,13.0,32.0,5.0
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,-53.0,NA,22.0,70.0,52.0,68.0,121.0,70.0,164.0,64.0,212.0,60.0,10.0,417.0,0.0,324.0,0.0,537.0,12.0,87.0,48.0
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,-92.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,126.0,0.0,59.0,0.0,66.0,4.0,22.0,4.0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,-52.0,NA,17.0,72.0,51.0,71.0,115.0,74.0,165.0,88.0,213.0,75.0,2.0,634.0,1.0,432.0,0.0,836.0,19.0,144.0,90.0
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-176.0,NA,26.0,69.0,75.0,30.0,124.0,63.0,181.0,35.0,222.0,75.0,0.0,194.0,4.0,204.0,0.0,494.0,45.0,79.0,14.0
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,-110.0,NA,19.0,79.0,64.0,69.0,117.0,74.0,166.0,50.0,215.0,68.0,7.0,875.0,4.0,512.0,0.0,900.0,11.0,91.0,45.0
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,-67.0,NA,20.0,70.0,54.0,65.0,117.0,62.0,166.0,75.0,216.0,68.0,2.0,123.0,0.0,320.0,2.0,915.0,8.0,98.0,24.0
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,-29.0,NA,18.0,72.0,57.0,72.0,116.0,72.0,166.0,73.0,227.0,73.0,4.0,428.0,0.0,295.0,1.0,508.0,16.0,120.0,56.0
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,-33.0,NA,19.0,72.0,54.0,68.0,117.0,75.0,173.0,72.0,215.0,70.0,8.0,333.0,0.0,476.0,2.0,714.0,19.0,214.0,128.0
AAA,2013J,53025,M,North Region,Post Graduate Qualification,NA,55<=,0,60,N,Pass,-179.0,NA,9.0,71.0,52.0,80.0,114.0,78.0,161.0,80.0,212.0,81.0,3.0,1974.0,0.0,394.0,0.0,575.0,6.0,124.0,82.0
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,-103.0,NA,18.0,68.0,53.0,76.0,116.0,78.0,166.0,80.0,214.0,68.0,5.0,30.0,8.0,360.0,0.0,708.0,16.0,132.0,60.0
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-47.0,NA,19.0,73.0,54.0,74.0,119.0,68.0,166.0,73.0,215.0,78.0,8.0,229.0,0.0,488.0,2.0,811.0,6.0,110.0,78.0
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-59.0,NA,18.0,67.0,53.0,71.0,117.0,78.0,166.0,88.0,215.0,89.0,0.0,218.0,0.0,215.0,3.0,521.0,13.0,100.0,32.0
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,-68.0,NA,17.0,73.0,50.0,85.0,114.0,75.0,164.0,70.0,213.0,77.0,12.0,1255.0,0.0,513.0,1.0,1520.0,21.0,61.0,5.0
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,-67.0,NA,19.0,83.0,54.0,42.0,117.0,78.0,166.0,76.0,215.0,79.0,25.0,411.0,0.0,543.0,0.0,1419.0,8.0,204.0,127.0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,-180.0,96.0,17.0,66.0,51.0,68.0,NA,NA,NA,NA,NA,NA,0.0,12.0,0.0,38.0,0.0,100.0,2.0,18.0,1.0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-95.0,NA,19.0,59.0,52.0,60.0,115.0,60.0,164.0,61.0,198.0,38.0,1.0,91.0,2.0,254.0,2.0,610.0,12.0,56.0,25.0
